option,src_state,src_coord,target_state,target_coord,primitive_distance,within_horizon,edge_valid,visible_mass,hidden_mass,hidden_gamma_mass,hidden_argmax_state,hidden_argmax_coord,hidden_argmax_prob,soft_cost,soft_argmax_state,soft_argmax_coord,soft_argmax_score,model_residual,residual_threshold_metric,residual_reward_abs,residual_gamma_l1,residual_hit_l1,residual_backup_raw,residual_backup_value,residual_backup_value_norm,residual_reward_per_discounted_step,residual_gamma_relative,residual_tau_relative,value_scale_task,beta_row,l_gamma_row,expected_tau_global,expected_tau_residual,struct_hidden_prob,struct_hit_prob,struct_nohit_prob,struct_reference_prob,struct_hidden_norm,struct_hidden_bits,struct_hidden_distinct,struct_hidden_distinct_bits,struct_distinct_argmax_state,struct_distinct_argmax_coord,struct_distinct_argmax_score,struct_distinct_scores,residual_hidden_mass,residual_hidden_gamma_mass,residual_argmax_state,residual_argmax_coord,residual_argmax_prob,reward,map,slip,step
fb_000_to_002,0,"(1, 1)",50,"(5, 11)",14.0,True,False,0.0,1.0,0.8329720049289999,24,"(3, 5)",1.0,0.0,,,0.0,0.8657911019232025,0.8657911019232025,1.6409548497101296,0.783743359437696,1.0,2.4246982091478255,10.71053025564078,4.279848918318398,0.2276399252448438,1.0,0.2222222222222222,11.57212408464641,0.783743359437696,7.208554685410126,8.0,6.0,1.0,1.0,0.0,0.0,1.0,39.86313713864835,1.0,39.86313713864835,24,"(3, 5)",1.0,"{""4"": 0.0, ""5"": 0.0, ""9"": 0.0, ""24"": 1.0, ""41"": 0.0, ""45"": 0.0, ""46"": 0.0}",1.0,0.8329720049289999,24,"(3, 5)",1.0,-5.567599835699999,four_rooms,0.0,1
fb_001_to_002,26,"(3, 7)",50,"(5, 11)",6.0,True,True,1.0,0.0,0.0,24,"(3, 5)",0.0,1.1247528250588064,48,"(5, 9)",0.5623764125294032,1.012851996714,1.012851996714,3.5975998356999996,0.8329720049289999,1.0,4.430571840629,13.236855235775089,6.8482951487782024,0.6461670992645405,1.0,0.5714285714285714,11.57212408464641,0.8329720049289999,5.567599835699998,6.0,2.0,1.0,1.0,0.0,0.0,1.0,39.86313713864835,1.0,39.86313713864835,46,"(5, 7)",1.0,"{""4"": 0.0, ""5"": 0.0, ""9"": 0.0, ""24"": 0.0, ""41"": 0.0, ""45"": 0.0, ""46"": 1.0}",1.0,0.9409,46,"(5, 7)",1.0,-5.567599835699999,four_rooms,0.0,1
fb_001_to_000,24,"(3, 5)",0,"(1, 1)",6.0,True,True,1.0,0.0,0.0,,,0.0,0.0,,,0.0,1.012851996714,1.012851996714,3.5975998356999996,0.8329720049289999,1.0,4.430571840629,13.236855235775089,6.8482951487782024,0.6461670992645405,1.0,0.5714285714285714,11.57212408464641,0.8329720049289999,5.567599835699998,6.0,2.0,1.0,1.0,0.0,0.0,1.0,39.86313713864835,1.0,39.86313713864835,4,"(1, 5)",1.0,"{""4"": 1.0, ""5"": 0.0, ""9"": 0.0, ""41"": 0.0, ""45"": 0.0, ""46"": 0.0}",1.0,0.9409,4,"(1, 5)",1.0,-5.567599835699999,four_rooms,0.0,2
fb_002_to_000,26,"(3, 7)",0,"(1, 1)",8.0,True,True,1.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.57212408464641,0.9409,1.9699999999999995,2.0,2.0,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0,4,"(1, 5)",0.0,"{""4"": 0.0, ""5"": 0.0, ""9"": 0.0, ""41"": 0.0, ""45"": 0.0, ""46"": 0.0}",0.0,0.0,4,"(1, 5)",0.0,-1.97,four_rooms,0.0,2
fb_003_to_000,50,"(5, 11)",0,"(1, 1)",14.0,True,True,1.0,0.0,0.0,,,0.0,1.2329439104767141,40,"(4, 11)",0.6352433976385771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.57212408464641,0.8329720049289999,5.567599835699998,6.0,6.0,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0,4,"(1, 5)",0.0,"{""4"": 0.0, ""5"": 0.0, ""9"": 0.0, ""41"": 0.0, ""45"": 0.0, ""46"": 0.0}",0.0,0.0,4,"(1, 5)",0.0,-5.567599835699999,four_rooms,0.0,2
fb_000_to_001,0,"(1, 1)",24,"(3, 5)",6.0,True,True,1.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.57212408464641,0.8329720049289999,5.567599835699998,6.0,6.0,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0,4,"(1, 5)",0.0,"{""4"": 0.0, ""5"": 0.0, ""9"": 0.0, ""41"": 0.0, ""45"": 0.0, ""46"": 0.0}",0.0,0.0,4,"(1, 5)",0.0,-5.567599835699999,four_rooms,0.0,2
fb_002_to_001,26,"(3, 7)",24,"(3, 5)",2.0,True,True,1.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.57212408464641,0.9409,1.9699999999999995,2.0,2.0,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0,4,"(1, 5)",0.0,"{""4"": 0.0, ""5"": 0.0, ""9"": 0.0, ""41"": 0.0, ""45"": 0.0, ""46"": 0.0}",0.0,0.0,4,"(1, 5)",0.0,-1.97,four_rooms,0.0,2
fb_003_to_001,50,"(5, 11)",24,"(3, 5)",8.0,True,True,1.0,0.0,0.0,,,0.0,1.2329439104767141,40,"(4, 11)",0.6352433976385771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.57212408464641,0.8329720049289999,5.567599835699998,6.0,6.0,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0,4,"(1, 5)",0.0,"{""4"": 0.0, ""5"": 0.0, ""9"": 0.0, ""41"": 0.0, ""45"": 0.0, ""46"": 0.0}",0.0,0.0,4,"(1, 5)",0.0,-5.567599835699999,four_rooms,0.0,2
fb_000_to_002,0,"(1, 1)",26,"(3, 7)",8.0,True,True,1.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.57212408464641,0.8329720049289999,5.567599835699998,6.0,6.0,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0,4,"(1, 5)",0.0,"{""4"": 0.0, ""5"": 0.0, ""9"": 0.0, ""41"": 0.0, ""45"": 0.0, ""46"": 0.0}",0.0,0.0,4,"(1, 5)",0.0,-5.567599835699999,four_rooms,0.0,2
fb_001_to_002,24,"(3, 5)",26,"(3, 7)",2.0,True,True,1.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.57212408464641,0.9409,1.9699999999999995,2.0,2.0,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0,4,"(1, 5)",0.0,"{""4"": 0.0, ""5"": 0.0, ""9"": 0.0, ""41"": 0.0, ""45"": 0.0, ""46"": 0.0}",0.0,0.0,4,"(1, 5)",0.0,-1.97,four_rooms,0.0,2
fb_003_to_002,50,"(5, 11)",26,"(3, 7)",6.0,True,True,1.0,0.0,0.0,,,0.0,1.2329439104767141,40,"(4, 11)",0.6352433976385771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.57212408464641,0.8329720049289999,5.567599835699998,6.0,6.0,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0,4,"(1, 5)",0.0,"{""4"": 0.0, ""5"": 0.0, ""9"": 0.0, ""41"": 0.0, ""45"": 0.0, ""46"": 0.0}",0.0,0.0,4,"(1, 5)",0.0,-5.567599835699999,four_rooms,0.0,2
fb_000_to_003,0,"(1, 1)",50,"(5, 11)",14.0,True,True,1.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.57212408464641,0.8329720049289999,5.567599835699998,6.0,6.0,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0,4,"(1, 5)",0.0,"{""4"": 0.0, ""5"": 0.0, ""9"": 0.0, ""41"": 0.0, ""45"": 0.0, ""46"": 0.0}",0.0,0.0,4,"(1, 5)",0.0,-5.567599835699999,four_rooms,0.0,2
fb_001_to_003,24,"(3, 5)",50,"(5, 11)",8.0,True,True,1.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.57212408464641,0.9409,1.9699999999999995,2.0,2.0,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0,4,"(1, 5)",0.0,"{""4"": 0.0, ""5"": 0.0, ""9"": 0.0, ""41"": 0.0, ""45"": 0.0, ""46"": 0.0}",0.0,0.0,4,"(1, 5)",0.0,-1.97,four_rooms,0.0,2
fb_002_to_003,26,"(3, 7)",50,"(5, 11)",6.0,True,True,1.0,0.0,0.0,,,0.0,1.1247528250588064,48,"(5, 9)",0.5623764125294032,1.012851996714,1.012851996714,3.5975998356999996,0.8329720049289999,1.0,4.430571840629,13.236855235775089,6.8482951487782024,0.6461670992645405,1.0,0.5714285714285714,11.57212408464641,0.8329720049289999,5.567599835699998,6.0,2.0,1.0,1.0,0.0,0.0,1.0,39.86313713864835,1.0,39.86313713864835,46,"(5, 7)",1.0,"{""4"": 0.0, ""5"": 0.0, ""9"": 0.0, ""41"": 0.0, ""45"": 0.0, ""46"": 1.0}",1.0,0.9409,46,"(5, 7)",1.0,-5.567599835699999,four_rooms,0.0,2
fb_001_to_000,50,"(5, 11)",0,"(1, 1)",14.0,True,False,0.0,0.9999999999999994,0.8206644506471236,26,"(3, 7)",0.9999999999999994,0.6676582215190286,40,"(4, 11)",0.6552799465478026,0.9353997146900606,0.9353997146900606,5.734326922811219,0.6486833685494996,0.9999999999999993,6.383010291360718,13.639125207059376,3.18588267030038,0.48967168725849314,1.0,0.5126957327119862,12.185911752175528,0.6486833685494996,11.710554381683336,14.39557821863803,6.50233096330871,0.9999999999999998,0.9999999999999998,2.220446049250313e-16,0.0,0.9999999999999998,39.86313713864835,2.9679276439750155,84.63638694656181,26,"(3, 7)",0.9999999999999996,"{""4"": 0.9667001735611283, ""5"": 0.0003132735168579147, ""9"": 0.00030327069900028876, ""24"": 0.9999999999999992, ""26"": 0.9999999999999996, ""41"": 6.606638612771228e-09, ""45"": 0.0002975421042400796, ""46"": 0.00031337748715161526}",0.9999999999999998,0.8207131762338362,26,"(3, 7)",0.9996759388772498,-5.977851645095878,four_rooms,0.05,0
fb_000_to_001,0,"(1, 1)",50,"(5, 11)",14.0,True,False,0.0,1.0000000000000004,0.8206644506471233,24,"(3, 5)",1.0000000000000004,0.00018265072057415448,42,"(5, 2)",0.00018265072057415448,0.9353997146900601,0.9353997146900601,5.734326922811206,0.6486833685494997,0.9999999999999997,6.383010291360706,13.639125207059365,3.1858826703003786,0.4896716872584922,1.0,0.5126957327119864,12.185911752175528,0.6486833685494997,11.710554381683332,14.395578218638036,6.50233096330871,0.9999999999999998,0.9999999999999998,2.220446049250313e-16,0.0,0.9999999999999998,39.86313713864835,2.9679276439750173,84.63638694656183,24,"(3, 5)",1.0000000000000002,"{""4"": 0.0003133774871516151, ""5"": 0.00029754210424007976, ""9"": 6.606638612771228e-09, ""24"": 1.0000000000000002, ""26"": 1.0, ""41"": 0.00030327069900028876, ""45"": 0.0003132735168579148, ""46"": 0.9667001735611289}",0.9999999999999998,0.8207131762338361,24,"(3, 5)",0.9996759388772498,-5.977851645095878,four_rooms,0.05,0
fb_001_to_000,24,"(3, 5)",0,"(1, 1)",6.0,True,False,0.9996976916196132,0.00030230838038643035,0.0002832569197053986,26,"(3, 7)",0.00030230838038643035,5.4771001686652154e-08,42,"(5, 2)",5.4771001686652154e-08,0.9754565430497713,0.9754565430497713,3.4588377520243605,0.8025146554485533,0.9667293146404526,4.261352407472914,13.23821052314798,6.386247533914078,0.6099945273308722,0.9670113055143983,0.5428628653530486,12.185911752175528,0.8298916991685619,5.670276694381266,6.145098537488366,2.2662898721975546,0.9667293146404526,0.9999999999999996,4.440892098500626e-16,0.0,0.9667293146404526,4.909604604448562,0.9673002138089916,4.909207336787133,4,"(1, 5)",0.9667001735610004,"{""4"": 0.9667001735610004, ""5"": 9.157829660538767e-08, ""9"": 1.3286023459599567e-13, ""26"": 0.00030230838038643035, ""41"": 6.606638612770353e-09, ""45"": 0.00029754210424004035, ""46"": 9.157829660835766e-08}",0.9667293146404526,0.9062797880092843,4,"(1, 5)",0.9661298250649621,-5.946006119837077,four_rooms,0.05,1
fb_002_to_000,50,"(5, 11)",0,"(1, 1)",14.0,True,False,0.0,0.9999999999999994,0.8206644506471236,26,"(3, 7)",0.9999999999999994,0.6676582215190286,40,"(4, 11)",0.6552799465478026,0.8484203945928543,0.8484203945928543,1.3853609179508917,0.7791523486953098,0.9999999999999994,2.1645132666462015,10.880042680652231,4.042776991637929,0.18818777239875564,1.0,0.18913645000020324,12.185911752175528,0.7791523486953098,7.361588376823,8.252273040649799,6.50233096330871,0.9999999999999998,0.9999999999999998,2.220446049250313e-16,0.0,0.9999999999999998,39.86313713864835,1.000929738603654,39.86447867585949,26,"(3, 7)",0.9999999999999994,"{""4"": 0.0, ""5"": 0.00031318196724193867, ""9"": 0.0003032706988674286, ""26"": 0.9999999999999994, ""41"": 0.0, ""45"": 0.0, ""46"": 0.0003132859375451607}",0.9999999999999998,0.8207131762338362,26,"(3, 7)",0.9996759388772498,-5.977851645095878,four_rooms,0.05,1
fb_000_to_001,0,"(1, 1)",24,"(3, 5)",6.0,True,True,1.0000000000000004,0.0,0.0,26,"(3, 7)",0.0,0.00018265072057415448,42,"(5, 2)",0.00018265072057415448,0.10144775077261481,0.10144775077261481,0.28537911057351106,0.08717879524393926,0.09972453246689328,0.3725579058174503,1.3477322160771346,0.6478095019148605,0.05014702432877704,0.10512657755038633,0.04504236643381921,12.185911752175528,0.8292745495510415,5.690848348298611,6.178973029495661,6.50233096330871,0.000324061122749875,0.9999999999999998,2.220446049250313e-16,0.0,0.000324061122749875,0.0004675971438565847,0.00032406743807065087,0.0004675969996269494,41,"(5, 1)",0.00030327025951454827,"{""4"": 1.045059017753737e-05, ""5"": 0.0, ""9"": 0.0, ""26"": 0.0, ""41"": 0.00030327025951454827, ""45"": 1.0346588378565208e-05, ""46"": 0.0}",0.000324061122749875,0.00028205274396991495,41,"(5, 1)",0.000303270258409239,-5.977851645095878,four_rooms,0.05,1
fb_002_to_001,50,"(5, 11)",24,"(3, 5)",8.0,True,False,0.0,0.9999999999999994,0.8206644506471236,26,"(3, 7)",0.9999999999999994,0.6676582215190286,40,"(4, 11)",0.6552799465478026,0.8484203945928543,0.8484203945928543,1.3853609179508917,0.7791523486953098,0.9999999999999994,2.1645132666462015,10.880042680652231,4.042776991637929,0.18818777239875564,1.0,0.18913645000020324,12.185911752175528,0.7791523486953098,7.361588376823,8.252273040649799,6.50233096330871,0.9999999999999998,0.9999999999999998,2.220446049250313e-16,0.0,0.9999999999999998,39.86313713864835,1.000929738603654,39.86447867585949,26,"(3, 7)",0.9999999999999994,"{""4"": 0.0, ""5"": 0.00031318196724193867, ""9"": 0.0003032706988674286, ""26"": 0.9999999999999994, ""41"": 0.0, ""45"": 0.0, ""46"": 0.0003132859375451607}",0.9999999999999998,0.8207131762338362,26,"(3, 7)",0.9996759388772498,-5.977851645095878,four_rooms,0.05,1
fb_000_to_002,0,"(1, 1)",50,"(5, 11)",14.0,True,True,1.0000000000000004,0.0,0.0,26,"(3, 7)",0.0,0.00018265072057415448,42,"(5, 2)",0.00018265072057415448,0.10144775077261481,0.10144775077261481,0.28537911057351106,0.08717879524393926,0.09972453246689328,0.3725579058174503,1.3477322160771346,0.6478095019148605,0.05014702432877704,0.10512657755038633,0.04504236643381921,12.185911752175528,0.8292745495510415,5.690848348298611,6.178973029495661,6.50233096330871,0.000324061122749875,0.9999999999999998,2.220446049250313e-16,0.0,0.000324061122749875,0.0004675971438565847,0.00032406743807065087,0.0004675969996269494,41,"(5, 1)",0.00030327025951454827,"{""4"": 1.045059017753737e-05, ""5"": 0.0, ""9"": 0.0, ""26"": 0.0, ""41"": 0.00030327025951454827, ""45"": 1.0346588378565208e-05, ""46"": 0.0}",0.000324061122749875,0.00028205274396991495,41,"(5, 1)",0.000303270258409239,-5.977851645095878,four_rooms,0.05,1
fb_001_to_002,24,"(3, 5)",50,"(5, 11)",8.0,True,False,4.394861634310756e-10,0.9999999995605137,0.9358446861315065,26,"(3, 7)",0.9999999995605137,9.34785184515909e-09,42,"(5, 2)",9.34785184515909e-09,1.037653386258505,1.037653386258505,5.086929072152278,0.783306932650891,0.9999999995932509,5.87023600480317,14.632238228303336,5.541249665058737,0.7042582130837765,0.9999999995751703,0.6495150732064223,12.185911752175528,0.783306932983663,7.223102233877892,8.072704928133165,2.1798463225564846,0.999999999593251,1.0000000000000002,0.0,0.0,0.999999999593251,31.195142263930265,1.9676035819721753,35.99310769056644,26,"(3, 7)",0.9999999995605137,"{""4"": 0.00030293006264429814, ""5"": 0.00029754210410927473, ""9"": 6.606638609866826e-09, ""26"": 0.9999999995605137, ""41"": 4.3948578079828597e-10, ""45"": 0.00030293006263447365, ""46"": 0.9667001731361494}",0.999999999593251,0.9359148048154595,26,"(3, 7)",0.9993945057345781,-2.138510450303426,four_rooms,0.05,1
fb_001_to_000,24,"(3, 5)",0,"(1, 1)",6.0,True,True,0.9999999999999997,0.0,0.0,,,0.0,5.4771001686652154e-08,42,"(5, 2)",5.4771001686652154e-08,0.9751879128316419,0.9751879128316419,3.4582601528503205,0.8022749051891258,0.9664567319274437,4.260535058039446,13.234711348469995,6.385209921822712,0.6099547956211111,0.9667022275323803,0.5428227374183148,12.185911752175528,0.8299090271437831,5.669699095207224,6.1444713889592375,2.2662898721975546,0.9664271847097834,0.9999999999999996,4.440892098500626e-16,0.0,0.9664271847097834,4.8965626686780785,0.9667054792849453,4.896168583050617,4,"(1, 5)",0.9664080204996635,"{""4"": 0.9664080204996635, ""5"": 0.0, ""9"": 0.0, ""41"": 6.604641370552407e-09, ""45"": 0.0002974521806404329, ""46"": 0.0}",0.9664271847097834,0.9059966779329903,4,"(1, 5)",0.9661298250649621,-5.946006119837077,four_rooms,0.05,2
fb_002_to_000,26,"(3, 7)",0,"(1, 1)",8.0,True,True,1.0,0.0,0.0,,,0.0,1.0049103168510595e-05,47,"(5, 8)",9.706334125492793e-06,0.1266632273588539,0.1266632273588539,0.13090482578222495,0.12011798606974267,0.13215312601748372,0.2510228118519676,1.5946520038771586,2.175274873358794,0.06528045321208333,0.12780658075514736,0.04682660275367611,12.185911752175528,0.9398419499216981,2.0052683359433945,2.0376055730642526,2.179846322556485,0.000605493858672945,0.9999999999999998,2.220446049250313e-16,0.0,0.000605493858672945,0.0008738075564552641,0.0006056774635054263,0.0008739402109381705,46,"(5, 7)",0.00030283851208116213,"{""4"": 0.0, ""5"": 0.0003028385120713436, ""9"": 4.393529205638069e-10, ""41"": 0.0, ""45"": 0.0, ""46"": 0.00030283851208116213}",0.000605493858672945,0.0005669460818013027,46,"(5, 7)",0.0003027467259618634,-2.138510450303426,four_rooms,0.05,2
